sid,IEA0,IEA1
12159B,0.84488213,0.21439812
10155J,-0.015093958,-0.40998203
22743Q,0.7462562,0.075744644
20271R,-0.64407575,2.6793618
14147E,-0.86754704,0.45306754
20600K,-0.2700379,-0.22351952
21091U,0.77247965,-0.84388745
19415C,0.7541991,0.6604483
12554H,0.13866861,0.24357148
20464C,1.0193479,-1.438248
12052J,0.17148916,1.3578478
21697E,-1.5352173,-1.4305646
19464P,-1.4154193,0.2180706
15305B,-1.1968744,0.65688723
21534C,1.3836386,-1.304967
23011G,0.55492437,-1.3718326
16731X,-1.0419037,-0.9081298
16397L,-0.9424596,-1.2925637
10794R,1.5564009,-0.7474414
17158Y,-0.04325846,1.960088
21778E,1.2485849,-1.2321961
11911A,0.019633535,-0.12594518
13568X,-0.6596047,0.24543902
24981Q,-0.16740091,-0.43716782
21385L,-0.4368462,-0.07392056
14020G,0.7997372,1.4392478
10934H,-0.7084012,1.3282517
23404Z,0.871801,1.0093019
18029S,0.44521576,1.5552162
10234F,0.8859358,0.8275717
20393F,-0.476206,0.8888219
10302W,2.2529323,-0.0018262863
14082C,-1.0546367,-0.55483377
10180I,-0.1963478,-0.64738286
13218W,0.09150092,-1.021449
23029Z,-1.2724376,-0.07043058
17935S,0.7052834,0.9233025
17692S,-0.01820265,-1.3992026
19462L,-0.048046403,-0.73019725
14125U,-0.63462543,1.103313
10025W,1.9913113,-2.002526
16546C,1.2459005,-1.0365677
21343V,0.98614705,-0.81537247
19423B,0.23454973,1.9083294
17882X,-2.2104063,-0.07673992
20671H,1.9933296,-0.003432969
10214Z,-0.77793354,0.40316993
13044P,0.018572563,0.6132479
18243U,1.3360476,-0.6322044
21852Q,0.2705086,-1.6206505
10955P,1.6633438,-0.14988928
24438V,0.4350644,-0.4353192
11599Y,0.47551227,-0.6842316
19328H,-0.6245695,0.034665234
11435U,0.028895563,-0.9213551
10903W,-2.3281498,1.1903934
10822W,-0.00012869835,-0.09293549
24195V,-0.59006447,-1.9983629
13256E,-0.13924626,-0.7256597
21513U,0.58477116,2.539184
15884R,2.008418,1.052868
23860Z,-0.77299416,-0.94308025
17745N,0.659653,-0.8952044
23226B,-0.56653225,2.2425838
22389Y,1.0871521,0.42078695
11962R,-1.2187392,0.265139
20974Z,-0.26592174,0.8339157
15356S,-0.67186916,0.2650476
23589L,0.62941575,1.0325027
17066T,0.57132244,-0.2642693
20645G,0.27429977,-0.50361836
22454J,0.01455909,-1.0960724
15860D,-0.83404005,-0.7142633
11744H,-1.7206103,-1.1526245
19253C,-0.26692083,0.84455216
16140A,-0.14291431,-1.2262274
13185H,0.50081193,-0.4761571
14694H,-0.11747973,-0.7632297
17603T,1.2130429,1.4027548
24639F,2.459444,-0.25348395
20408S,-0.7706572,-0.67298436
10736D,0.84754676,0.68607014
15231Y,-0.9810926,-1.4234182
14229G,0.9550479,0.18583195
24516P,0.09717993,0.783305
12357F,1.0013263,-1.0601262
